COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Unnamed: 16
Barbados,BRB,AMRO,REPORTING,29/12/2023,384049,163853.0,134.0,57.0,155047.0,54.0,,08/01/2021,,62848.0,22.0,
Botswana,BWA,AFRO,REPORTING,31/12/2023,3171667,1951054.0,135.0,83.0,1663490.0,71.0,,26/03/2021,,510809.0,22.0,
Central African Republic,CAF,AFRO,REPORTING,31/12/2023,3342248,2600389.0,69.0,54.0,2484985.0,51.0,,19/03/2021,,366221.0,8.0,
Canada,CAN,AMRO,REPORTING,29/12/2023,9.90E+07,32600000.0,262.0,87.0,31300000.0,83.0,,14/12/2020,,19900000.0,53.0,
Switzerland,CHE,EURO,REPORTING,23/12/2023,1.68E+07,6096600.0,194.0,70.0,5723066.0,66.0,,23/12/2020,,4996650.0,58.0,
Chile,CHL,AMRO,REPORTING,29/12/2023,6.69E+07,17500000.0,350.0,92.0,17700000.0,93.0,,21/12/2020,,15800000.0,83.0,
C�te d'Ivoire,CIV,AFRO,REPORTING,31/12/2023,2.53E+07,13600000.0,96.0,51.0,12200000.0,46.0,,01/03/2021,,3138712.0,12.0,
Cameroon,CMR,AFRO,REPORTING,31/12/2023,4880572,3753733.0,18.0,14.0,3197286.0,12.0,,12/04/2021,,803560.0,3.0,
Democratic Republic of the Congo,COD,AFRO,REPORTING,31/12/2023,1.88E+07,17000000.0,21.0,19.0,14400000.0,16.0,,19/04/2021,,,,
Congo,COG,AFRO,REPORTING,31/12/2023,833210,695760.0,15.0,13.0,654119.0,12.0,,23/03/2021,,,,
Colombia,COL,AMRO,REPORTING,29/12/2023,9.09E+07,43000000.0,179.0,85.0,37200000.0,73.0,,17/02/2021,,14900000.0,29.0,
Comoros,COM,AFRO,REPORTING,31/12/2023,835021,438825.0,96.0,50.0,397080.0,46.0,,10/04/2021,,,,
Cabo Verde,CPV,AFRO,REPORTING,31/12/2023,859940,356734.0,155.0,64.0,308720.0,56.0,,18/03/2021,,749.0,,
Costa Rica,CRI,AMRO,REPORTING,29/12/2023,1.36E+07,4650636.0,267.0,91.0,4369784.0,86.0,,24/12/2020,,2986527.0,59.0,
Cuba,CUB,AMRO,REPORTING,29/12/2023,4.59E+07,10800000.0,405.0,95.0,10000000.0,89.0,,,,8783298.0,78.0,
Cura�ao,CUW,AMRO,REPORTING,29/12/2023,260324,108601.0,159.0,66.0,100885.0,61.0,,,,47473.0,29.0,
Cayman Islands,CYM,AMRO,REPORTING,29/12/2023,152148,62113.0,232.0,95.0,60696.0,92.0,,15/01/2021,,24064.0,37.0,
Cyprus,CYP,EURO,REPORTING,23/12/2023,1891597,669294.0,213.0,75.0,656138.0,74.0,,23/12/2020,,520026.0,59.0,
Czechia,CZE,EURO,REPORTING,23/12/2023,1.86E+07,6972222.0,174.0,65.0,6887973.0,64.0,,23/12/2020,,4365928.0,41.0,
Germany,DEU,EURO,REPORTING,23/12/2023,1.93E+08,64900000.0,232.0,78.0,63600000.0,76.0,,23/12/2020,,52100000.0,63.0,
Djibouti,DJI,EMRO,REPORTING,31/12/2023,723789,372077.0,73.0,38.0,351712.0,36.0,,15/03/2021,,,,
Dominica,DMA,AMRO,REPORTING,29/12/2023,67647,32995.0,94.0,46.0,30659.0,43.0,,12/02/2021,,3993.0,6.0,
Denmark,DNK,EURO,REPORTING,23/12/2023,1.49E+07,4737987.0,256.0,81.0,4781285.0,82.0,,16/12/2020,,3674678.0,63.0,
Dominican Republic,DOM,AMRO,REPORTING,29/12/2023,1.64E+07,7360900.0,151.0,68.0,6130483.0,57.0,,16/02/2021,,2575142.0,24.0,
Algeria,DZA,AFRO,REPORTING,31/12/2023,1.53E+07,7840131.0,35.0,18.0,6481186.0,15.0,,30/01/2021,,575651.0,1.0,
Ecuador,ECU,AMRO,REPORTING,29/12/2023,3.96E+07,15300000.0,224.0,87.0,14200000.0,81.0,,20/01/2021,,7732930.0,44.0,
Egypt,EGY,EMRO,REPORTING,31/12/2023,1.02E+08,56900000.0,100.0,56.0,42300000.0,41.0,,24/01/2021,,15200000.0,15.0,
Spain,ESP,EURO,REPORTING,23/12/2023,1.19E+08,41300000.0,252.0,87.0,37500000.0,79.0,,30/12/2020,,32900000.0,70.0,
Estonia,EST,EURO,REPORTING,23/12/2023,2205229,845148.0,166.0,64.0,842177.0,63.0,,23/12/2020,,487389.0,37.0,
Ethiopia,ETH,AFRO,REPORTING,31/12/2023,6.89E+07,52500000.0,60.0,46.0,43700000.0,38.0,,13/03/2021,,5978070.0,5.0,
Finland,FIN,EURO,REPORTING,23/12/2023,1.42E+07,4547671.0,257.0,82.0,4365135.0,79.0,,23/12/2020,,4016189.0,73.0,
France,FRA,EURO,REPORTING,23/12/2023,1.58E+08,54700000.0,243.0,84.0,53200000.0,82.0,,23/12/2020,,41000000.0,63.0,
Gabon,GAB,AFRO,REPORTING,31/12/2023,572672,311244.0,26.0,14.0,257471.0,12.0,,23/03/2021,,2592.0,,
United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,23/12/2023,1.51E+08,53800000.0,223.0,79.0,50800000.0,75.0,,21/12/2020,,,,
Georgia,GEO,EURO,REPORTING,23/12/2023,2739270,1300867.0,69.0,33.0,1187212.0,30.0,,17/03/2021,,251191.0,6.0,
Ghana,GHA,AFRO,REPORTING,31/12/2023,2.56E+07,13900000.0,82.0,45.0,10800000.0,35.0,,02/03/2021,,4806017.0,15.0,
Guinea,GIN,AFRO,REPORTING,31/12/2023,1.20E+07,8715641.0,92.0,66.0,5853990.0,45.0,,05/03/2021,,425378.0,3.0,
Guadeloupe,GLP,,REPORTING,29/12/2023,400424,152189.0,100.0,38.0,146147.0,37.0,,,,89052.0,22.0,
Gambia,GMB,AFRO,REPORTING,31/12/2023,1444492,674314.0,60.0,28.0,539186.0,22.0,,10/03/2021,,53741.0,2.0,
Guinea-Bissau,GNB,AFRO,REPORTING,31/12/2023,920752,747057.0,47.0,38.0,547637.0,28.0,,02/04/2021,,76359.0,4.0,
Equatorial Guinea,GNQ,AFRO,REPORTING,31/12/2023,488738,270109.0,35.0,19.0,214032.0,15.0,,12/02/2021,,4597.0,,
Greece,GRC,EURO,REPORTING,23/12/2023,2.22E+07,7917288.0,207.0,74.0,7745574.0,72.0,,23/12/2020,,6071723.0,57.0,
Grenada,GRD,AMRO,REPORTING,29/12/2023,90686,44241.0,81.0,39.0,39034.0,35.0,,15/02/2021,,7411.0,7.0,
Guatemala,GTM,AMRO,REPORTING,29/12/2023,2.04E+07,8937923.0,114.0,50.0,7130895.0,40.0,,25/02/2021,,3723845.0,21.0,
French Guiana,GUF,,REPORTING,29/12/2023,242386,100359.0,81.0,34.0,90493.0,30.0,,,,46361.0,16.0,
Guyana,GUY,AMRO,REPORTING,29/12/2023,967861,497550.0,123.0,63.0,384507.0,49.0,,11/02/2021,,80224.0,10.0,
Honduras,HND,AMRO,REPORTING,29/12/2023,1.71E+07,6596213.0,172.0,67.0,5853689.0,59.0,,22/02/2021,,4803544.0,48.0,
Croatia,HRV,EURO,REPORTING,23/12/2023,5435966,2321669.0,134.0,57.0,2246622.0,55.0,,23/12/2020,,996098.0,25.0,
Haiti,HTI,AMRO,REPORTING,29/12/2023,680104,521396.0,6.0,5.0,366339.0,3.0,,,,,,
Hungary,HUN,EURO,REPORTING,23/12/2023,1.66E+07,6358657.0,170.0,65.0,6152022.0,63.0,,23/12/2020,,3876420.0,40.0,
Ireland,IRL,EURO,REPORTING,23/12/2023,1.31E+07,4245977.0,264.0,86.0,4063819.0,82.0,,30/12/2020,,3787948.0,76.0,
Iceland,ISL,EURO,REPORTING,23/12/2023,903424,307412.0,248.0,84.0,297934.0,82.0,,30/12/2020,,287652.0,79.0,
Israel,ISR,EURO,REPORTING,23/12/2023,1.89E+07,7055466.0,218.0,82.0,6385731.0,74.0,,16/12/2020,,4474108.0,52.0,
Italy,ITA,EURO,REPORTING,23/12/2023,1.50E+08,50600000.0,252.0,85.0,49500000.0,83.0,,23/12/2020,,44900000.0,75.0,
Jamaica,JAM,AMRO,REPORTING,29/12/2023,1529113,722248.0,52.0,24.0,760800.0,26.0,,10/03/2021,,46065.0,2.0,
Japan,JPN,WPRO,REPORTING,31/12/2023,4.33E+08,105000000.0,343.0,83.0,103000000.0,82.0,,17/02/2021,,86700000.0,69.0,
Kazakhstan,KAZ,EURO,REPORTING,23/12/2023,3.84E+07,12400000.0,204.0,66.0,13100000.0,70.0,,07/04/2021,,6801526.0,36.0,
Kenya,KEN,AFRO,REPORTING,31/12/2023,2.38E+07,14500000.0,44.0,27.0,11100000.0,21.0,,05/03/2021,,2000636.0,4.0,
Kyrgyzstan,KGZ,EURO,REPORTING,23/12/2023,3167393,1528725.0,49.0,23.0,1337850.0,21.0,,31/03/2021,,300818.0,5.0,
Cambodia,KHM,WPRO,REPORTING,31/12/2023,4.78E+07,15300000.0,286.0,92.0,14700000.0,88.0,,10/02/2021,,10800000.0,64.0,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,29/12/2023,64297,33794.0,121.0,64.0,27000.0,51.0,,22/02/2021,,3465.0,7.0,
Kuwait,KWT,EMRO,REPORTING,03/12/2023,8261221,3457498.0,193.0,81.0,3346176.0,78.0,,28/12/2020,,1457547.0,34.0,
Liberia,LBR,AFRO,REPORTING,31/12/2023,4460668,3903802.0,88.0,77.0,3730967.0,74.0,,01/04/2021,,1987.0,,
Libya,LBY,EMRO,REPORTING,31/12/2023,3653384,2316327.0,53.0,34.0,1236102.0,18.0,,11/04/2021,,186729.0,3.0,
Saint Lucia,LCA,AMRO,REPORTING,29/12/2023,122977,60140.0,67.0,33.0,54971.0,30.0,,17/02/2021,,7866.0,4.0,
Lesotho,LSO,AFRO,REPORTING,31/12/2023,1339097,1014073.0,63.0,47.0,938088.0,44.0,,10/03/2021,,177816.0,8.0,
Lithuania,LTU,EURO,REPORTING,23/12/2023,4532649,1960786.0,162.0,70.0,1907061.0,68.0,,23/12/2020,,902103.0,32.0,
Luxembourg,LUX,EURO,REPORTING,23/12/2023,1337940,469285.0,214.0,75.0,462715.0,74.0,,30/12/2020,,368527.0,59.0,
Latvia,LVA,EURO,REPORTING,23/12/2023,2979624,1344394.0,156.0,70.0,1304787.0,68.0,,30/12/2020,,550901.0,29.0,
Morocco,MAR,EMRO,REPORTING,31/12/2023,5.54E+07,25000000.0,150.0,68.0,23500000.0,64.0,,28/01/2021,,6925973.0,19.0,
Monaco,MCO,EURO,REPORTING,23/12/2023,71929,25123.0,183.0,64.0,25261.0,64.0,,30/06/2021,,17747.0,45.0,
Republic of Moldova,MDA,EURO,REPORTING,23/12/2023,2293086,1109524.0,57.0,28.0,1078961.0,27.0,,03/03/2021,,406022.0,10.0,
Madagascar,MDG,AFRO,REPORTING,31/12/2023,3092063,2710365.0,11.0,10.0,2628849.0,9.0,,10/05/2021,,169187.0,1.0,
Mexico,MEX,AMRO,REPORTING,29/12/2023,2.22E+08,96700000.0,172.0,75.0,81300000.0,63.0,,24/12/2020,,57000000.0,44.0,
North Macedonia,MKD,EURO,REPORTING,23/12/2023,1862987,854570.0,89.0,41.0,838181.0,40.0,,17/02/2021,,161633.0,8.0,
Mali,MLI,AFRO,REPORTING,31/12/2023,5922585,4354292.0,29.0,22.0,3633589.0,18.0,,31/03/2021,,,,
Malta,MLT,EURO,REPORTING,23/12/2023,1282437,450535.0,249.0,88.0,444904.0,86.0,,23/12/2020,,354901.0,69.0,
Montenegro,MNE,EURO,REPORTING,23/12/2023,526975,272152.0,84.0,43.0,254365.0,40.0,,24/02/2021,,,,
Mozambique,MOZ,AFRO,REPORTING,31/12/2023,3.50E+07,22900000.0,112.0,73.0,21300000.0,68.0,,08/03/2021,,2323562.0,7.0,
Mauritania,MRT,AFRO,REPORTING,31/12/2023,4075874,2103754.0,88.0,45.0,1540597.0,33.0,,26/03/2021,,383937.0,8.0,
Montserrat,MSR,AMRO,REPORTING,29/12/2023,4619,2104.0,92.0,42.0,1952.0,39.0,,08/02/2021,,563.0,11.0,
Mauritius,MUS,AFRO,REPORTING,31/12/2023,2616012,1123773.0,206.0,88.0,1088142.0,86.0,,26/01/2021,,654507.0,51.0,
Malawi,MWI,AFRO,REPORTING,31/12/2023,8503954,5433538.0,44.0,28.0,4288014.0,22.0,,11/03/2021,,1232829.0,6.0,
Malaysia,MYS,WPRO,REPORTING,31/12/2023,7.26E+07,28100000.0,224.0,87.0,27600000.0,85.0,,24/02/2021,,16300000.0,51.0,
Namibia,NAM,AFRO,REPORTING,31/12/2023,1005937,629767.0,40.0,25.0,550978.0,22.0,,19/03/2021,,298560.0,12.0,
Niger,NER,AFRO,REPORTING,31/12/2023,7372208,6248483.0,30.0,26.0,5483001.0,23.0,,29/03/2021,,,,
Nigeria,NGA,AFRO,REPORTING,31/12/2023,1.33E+08,93800000.0,65.0,46.0,81300000.0,39.0,,05/03/2021,,16800000.0,8.0,
Nicaragua,NIC,AMRO,REPORTING,29/12/2023,1.55E+07,6404524.0,234.0,97.0,6126708.0,92.0,,03/03/2021,,2892531.0,44.0,
Netherlands (Kingdom of the),NLD,EURO,REPORTING,23/12/2023,4.03E+07,13500000.0,231.0,77.0,12400000.0,71.0,,30/12/2020,,12100000.0,70.0,
Norway,NOR,EURO,REPORTING,23/12/2023,1.30E+07,4346149.0,243.0,81.0,4061312.0,76.0,,23/12/2020,,3705726.0,69.0,
Panama,PAN,AMRO,REPORTING,29/12/2023,9201276,3746041.0,213.0,87.0,3178700.0,74.0,,20/01/2021,,1770843.0,41.0,
Peru,PER,AMRO,REPORTING,29/12/2023,9.13E+07,30500000.0,277.0,93.0,28700000.0,87.0,,09/02/2021,,22200000.0,67.0,
Papua New Guinea,PNG,WPRO,REPORTING,04/12/2023,543670,399198.0,6.0,4.0,338004.0,4.0,,30/03/2021,,37525.0,,
Poland,POL,EURO,REPORTING,23/12/2023,5.86E+07,23000000.0,154.0,61.0,22700000.0,60.0,,23/12/2020,,12900000.0,34.0,
Puerto Rico,PRI,AMRO,REPORTING,29/12/2023,7846764,3136418.0,274.0,100.0,2688410.0,94.0,,,,1808780.0,63.0,
Portugal,PRT,EURO,REPORTING,23/12/2023,2.74E+07,9822021.0,266.0,95.0,8910340.0,87.0,,23/12/2020,,7052055.0,68.0,
Paraguay,PRY,AMRO,REPORTING,29/12/2023,9954852,3995915.0,140.0,56.0,3550673.0,50.0,,22/02/2021,,1660766.0,23.0,
Romania,ROU,EURO,REPORTING,23/12/2023,1.61E+07,8188137.0,83.0,42.0,8142363.0,42.0,,27/01/2021,,1770001.0,9.0,
Russian Federation,RUS,EURO,REPORTING,23/12/2023,1.87E+08,89100000.0,128.0,61.0,79700000.0,55.0,,,,,,
Rwanda,RWA,AFRO,REPORTING,31/12/2023,2.73E+07,10900000.0,211.0,84.0,10400000.0,80.0,,05/03/2021,,5879013.0,45.0,
Sudan,SDN,EMRO,REPORTING,31/12/2023,2.87E+07,15200000.0,65.0,35.0,13400000.0,31.0,,09/03/2021,,38261.0,,
Senegal,SEN,AFRO,REPORTING,31/12/2023,3182308,2684696.0,19.0,16.0,1548665.0,9.0,,23/02/2021,,724754.0,4.0,
Sierra Leone,SLE,AFRO,REPORTING,31/12/2023,9155936,5676123.0,115.0,71.0,4961886.0,62.0,,15/03/2021,,1201709.0,15.0,
El Salvador,SLV,AMRO,REPORTING,29/12/2023,1.15E+07,4659970.0,177.0,72.0,4397817.0,68.0,,17/02/2021,,1908547.0,29.0,
San Marino,SMR,EURO,REPORTING,23/12/2023,69338,26357.0,204.0,78.0,23633.0,70.0,,24/02/2021,,19348.0,57.0,
Somalia,SOM,EMRO,REPORTING,31/12/2023,8784760,8972167.0,55.0,56.0,7666835.0,48.0,,16/03/2021,,,,
Serbia,SRB,EURO,REPORTING,23/12/2023,6722671,3398116.0,97.0,49.0,3324555.0,48.0,,23/12/2020,,,,
South Sudan,SSD,AFRO,REPORTING,31/12/2023,4365547,4315127.0,39.0,39.0,4273253.0,38.0,,06/04/2021,,513122.0,5.0,
Sao Tome and Principe,STP,AFRO,REPORTING,31/12/2023,263863,140256.0,120.0,64.0,111986.0,51.0,,15/03/2021,,34624.0,16.0,
Suriname,SUR,AMRO,REPORTING,29/12/2023,554588,267820.0,95.0,46.0,237879.0,41.0,,23/02/2021,,48889.0,8.0,
Slovakia,SVK,EURO,REPORTING,23/12/2023,7222380,2840017.0,132.0,52.0,2791711.0,51.0,,23/12/2020,,1686458.0,31.0,
Slovenia,SVN,EURO,REPORTING,23/12/2023,3028400,1252307.0,144.0,60.0,1187384.0,57.0,,23/12/2020,,681485.0,33.0,
Sweden,SWE,EURO,REPORTING,23/12/2023,2.32E+07,7563941.0,225.0,73.0,7403549.0,72.0,,23/12/2020,,5542831.0,54.0,
Eswatini,SWZ,AFRO,REPORTING,31/12/2023,870205,526050.0,75.0,45.0,427335.0,37.0,,19/03/2021,,179450.0,15.0,
Sint Maarten (Dutch part),SXM,AMRO,REPORTING,29/12/2023,66829,29788.0,156.0,69.0,26773.0,62.0,,,,9146.0,21.0,
Seychelles,SYC,AFRO,REPORTING,31/12/2023,224558,88520.0,228.0,90.0,83565.0,85.0,,10/01/2021,,44936.0,46.0,
Turks and Caicos Islands,TCA,AMRO,REPORTING,29/12/2023,73907,32815.0,191.0,85.0,30710.0,79.0,,11/01/2021,,7443.0,19.0,
Chad,TCD,AFRO,REPORTING,31/12/2023,9151765,5147667.0,56.0,31.0,5020360.0,31.0,,04/06/2021,,4042573.0,25.0,
Togo,TGO,AFRO,REPORTING,31/12/2023,3423181,2255579.0,41.0,27.0,1554066.0,19.0,,10/03/2021,,427804.0,5.0,
Tajikistan,TJK,EURO,REPORTING,23/12/2023,2.06E+07,5328277.0,216.0,56.0,5191919.0,54.0,,24/03/2021,,5322496.0,56.0,
Turkmenistan,TKM,EURO,REPORTING,23/12/2023,1.68E+07,4614869.0,278.0,77.0,4568901.0,76.0,,24/02/2021,,3816400.0,63.0,
Trinidad and Tobago,TTO,AMRO,REPORTING,29/12/2023,1592148,754399.0,114.0,54.0,718969.0,51.0,,17/02/2021,,174836.0,12.0,
Tunisia,TUN,EMRO,REPORTING,31/12/2023,1.66E+07,8896848.0,140.0,75.0,6401705.0,54.0,,13/03/2021,,1258577.0,11.0,
T�rkiye,TUR,EURO,REPORTING,23/12/2023,1.52E+08,57900000.0,181.0,69.0,53200000.0,63.0,,,,27900000.0,33.0,
United Republic of Tanzania,TZA,AFRO,REPORTING,31/12/2023,3.94E+07,34400000.0,66.0,58.0,32200000.0,54.0,,28/07/2021,,,,
Uganda,UGA,AFRO,REPORTING,31/12/2023,2.64E+07,20000000.0,58.0,44.0,13100000.0,29.0,,10/03/2021,,764664.0,2.0,
Ukraine,UKR,EURO,REPORTING,23/12/2023,3.57E+07,16300000.0,82.0,37.0,15700000.0,36.0,,24/02/2021,,3294979.0,8.0,
Uruguay,URY,AMRO,REPORTING,29/12/2023,9037498,3010464.0,260.0,87.0,2903186.0,84.0,,27/02/2021,,2080961.0,60.0,
United States of America,USA,AMRO,REPORTING,29/12/2023,7.12E+08,270000000.0,215.0,82.0,231000000.0,70.0,,14/12/2020,,118000000.0,36.0,
Uzbekistan,UZB,EURO,REPORTING,23/12/2023,8.39E+07,22100000.0,251.0,66.0,18500000.0,55.0,,28/04/2021,,16400000.0,49.0,
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,29/12/2023,73443,37532.0,66.0,34.0,31632.0,29.0,,01/02/2021,,4279.0,4.0,
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,29/12/2023,3.79E+07,22200000.0,133.0,78.0,14300000.0,50.0,,22/02/2021,,651502.0,2.0,
British Virgin Islands,VGB,AMRO,REPORTING,29/12/2023,41453,19466.0,137.0,64.0,18261.0,60.0,,11/02/2021,,3726.0,12.0,
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),XKX,EURO,REPORTING,23/12/2023,1836901,904558.0,102.0,50.0,824752.0,46.0,,31/03/2021,,105624.0,6.0,
Yemen,YEM,EMRO,REPORTING,10/12/2023,1298654,1050202.0,4.0,4.0,807057.0,3.0,,20/04/2021,,68925.0,,
South Africa,ZAF,AFRO,REPORTING,31/12/2023,4.18E+07,24200000.0,70.0,41.0,21000000.0,35.0,,17/02/2021,,4410601.0,7.0,
Zambia,ZMB,AFRO,REPORTING,31/12/2023,1.36E+07,11700000.0,74.0,64.0,9155551.0,50.0,,14/04/2021,,1414619.0,8.0,
Zimbabwe,ZWE,AFRO,REPORTING,31/12/2023,1.39E+07,7525882.0,94.0,51.0,5662119.0,38.0,,18/02/2021,,2299968.0,15.0,
United Arab Emirates,ARE,EMRO,REPORTING,06/07/2022,2.49E+07,9991089.0,252.0,100.0,9792266.0,99.0,,,,5138699.0,52.0,
Bangladesh,BGD,SEARO,REPORTING,18/10/2023,3.62E+08,152000000.0,220.0,92.0,142000000.0,86.0,,27/01/2021,,68500000.0,42.0,
Bahrain,BHR,EMRO,REPORTING,21/12/2022,3476633,1241174.0,204.0,73.0,1226796.0,72.0,,04/11/2020,,1008663.0,59.0,
Brunei Darussalam,BRN,WPRO,REPORTING,30/06/2023,1293100,451149.0,296.0,100.0,446714.0,100.0,,03/04/2021,,340466.0,78.0,
Bhutan,BTN,SEARO,REPORTING,30/10/2022,2011426,699116.0,261.0,91.0,677669.0,88.0,,27/03/2021,,634641.0,82.0,
China,CHN,WPRO,REPORTING,20/04/2023,3.52E+09,1320000000.0,239.0,90.0,1280000000.0,87.0,,22/07/2020,,834000000.0,57.0,
Cook Islands,COK,WPRO,REPORTING,31/01/2023,40080,15112.0,228.0,86.0,14728.0,84.0,,17/05/2021,,10240.0,58.0,
Fiji,FJI,WPRO,REPORTING,29/06/2023,1555182,712025.0,173.0,79.0,641194.0,72.0,,07/03/2021,,172078.0,19.0,
Gibraltar,GIB,,REPORTING,,,,,,,,,,,,,
Greenland,GRL,EURO,REPORTING,,,,,,,,,,,,,
China, Hong Kong SAR,HKG,WPRO,REPORTING,,,,,,,,,,,,
Indonesia,IDN,SEARO,REPORTING,23/11/2023,4.48E+08,204000000.0,164.0,75.0,175000000.0,64.0,,13/01/2021,,69400000.0,25.0,
India,IND,SEARO,REPORTING,23/11/2023,2.21E+09,1030000000.0,160.0,74.0,952000000.0,69.0,,16/01/2021,,229000000.0,17.0,
Iran (Islamic Republic of),IRN,EMRO,REPORTING,26/11/2023,1.55E+08,65200000.0,185.0,78.0,58600000.0,70.0,,09/02/2021,,31400000.0,37.0,
Iraq,IRQ,EMRO,REPORTING,02/01/2023,1.96E+07,11300000.0,49.0,28.0,7944775.0,20.0,,02/03/2021,,275280.0,1.0,
Jordan,JOR,EMRO,REPORTING,21/08/2022,1.01E+07,4821579.0,99.0,47.0,4558313.0,45.0,,13/01/2021,,682211.0,7.0,
Kiribati,KIR,WPRO,REPORTING,06/02/2023,219980,100900.0,184.0,84.0,81474.0,68.0,,26/05/2021,,37606.0,31.0,
Republic of Korea,KOR,WPRO,REPORTING,04/09/2023,1.36E+08,45100000.0,265.0,88.0,44700000.0,87.0,,26/02/2021,,33600000.0,66.0,
Lao People's Democratic Republic,LAO,WPRO,REPORTING,21/05/2023,1.39E+07,6324678.0,191.0,87.0,5691962.0,78.0,,25/11/2020,,2451034.0,34.0,
