osm_id,building,addr_full,name_ne,healthcare_speciality,source,addr_city,healthcare,capacity_persons,operator_type,name,amenity,longitude,latitude,geom_type
"9784655251",,,,,Field Survey,,,,,,dentist,85.5229944,27.6304764,POINT
"9784655252",,,,,Field Survey,,,,,,dentist,85.5244108,27.6313865,POINT
"9784655259",,,,,Field Survey,,,,,,pharmacy,85.5236487,27.6290175,POINT
"10889516305",,,,,,,,,,CWC Polyclinic,clinic,85.5235199,27.6303334,POINT
"10230034911",,,,,,,,,,Samjhana Homeo Pharmacy,pharmacy,85.5248007,27.6301839,POINT
"10230034945",,,,,,,,,,Krishna Prasad Hospital,hospital,85.5246921,27.6294156,POINT
"9784655261",,,,,,,,,,,dentist,85.5239688,27.6296717,POINT
"1833834845",,,,,,,,,,Kavre Health Clinic,clinic,85.5242964,27.6283867,POINT
"3156329582",,,,,,,,,,Patanjali Chikitsataya Sewa Kendra,pharmacy,85.5278325,27.6289042,POINT
"10230034893",,,,,,,,,,Nala Pharmacy,pharmacy,85.5031296,27.6563512,POINT
"10230034943",,,,,,,,,,Spinal Injury Rehabilitation Center,hospital,85.492346,27.636392,POINT
"10704592442",,,,,,,,,,Palanchowk Dental Clinic,dentist,85.6201594,27.6475593,POINT
"10703731161",,,,,,,,,,Palanchowk Dental Clinic,dentist,85.6199175,27.6474616,POINT
"9800606269",,,,,,,,,,Basic Health Center,clinic,85.4957137,26.8831773,POINT
"9800606266",,,,,,,,,,Nagarik Arogya Service Center Belahi,clinic,85.4890485,26.9036432,POINT
"9800606274",,,,,,,,,,Health Post and Community Center,clinic,85.4893999,26.9038135,POINT
"10230034900",,,,,,,,,,Chamunda Medical Hall,pharmacy,85.4923458,27.6366965,POINT
"9783640020",,,,,,,,,,Urban Health Center Jitpur,clinic,85.7507731,27.7208454,POINT
"9783640021",,,,,,,,,,Urban Health Center Pipaldada,clinic,85.6811707,27.7795288,POINT
"9783640022",,,,,,,,,,Deurali Urban Health Center,clinic,85.7403701,27.778654,POINT
"9783640023",,,,,,,,,,Bandevi Polyclinic pvt. Ltd,pharmacy,85.7146149,27.7746914,POINT
"9783640025",,,,,,,,,,Harisiddhi Medical Hall,pharmacy,85.7125197,27.7767679,POINT
"9783640030",,,,,,,,,,Sanusiruwari Health Post,clinic,85.7064408,27.7605463,POINT
"9783640032",,,,,,,,,,Irkhu Health Post,clinic,85.7486018,27.7456784,POINT
"9783640035",,,,,,,,,,Chautara Hospital Sindhupalchok,hospital,85.7112068,27.7804792,POINT
"9783640036",,,,,,,,,,Biraj Dental Care,dentist,85.7187351,27.7725276,POINT
"9783640037",,,,,,,,,,Samuhik Dental Care Pvt. Ltd,dentist,85.712791,27.7759397,POINT
"9783640040",,,,,,,,,,Sangachok Basic Health Service and Delivery Service center.,clinic,85.7116031,27.6970277,POINT
"9783640044",,,,,,,,,,Bhimtar Basic Health Service Centre,clinic,85.6893676,27.689774,POINT
"9783640045",,,,,,,,,,Melchaur Community Health Centre,clinic,85.7304811,27.753582,POINT
"9783640046",,,,,,,,,,Chautara Basic Health Facility Center Ward no. 5,clinic,85.7186083,27.7721384,POINT
"10230034908",,,,,,,,,,Niko Medical Hall,pharmacy,85.5227175,27.6278826,POINT
"5032818701",,,,,,,,,,,clinic,85.5233906,27.6273231,POINT
"10230034920",,,,,,,,,,Door'S Care Pharmacy,pharmacy,85.5235337,27.6275723,POINT
"9615164957",,,,,,,pharmacy,,,Trienetra Medical,pharmacy,85.5323011,27.6283162,POINT
"4532457890",,,,,,,,,,,hospital,85.5353208,27.6307063,POINT
"4465721389",,,,,,,,,,,pharmacy,85.5284852,27.6287993,POINT
"4533955690",,,,,,,,,,,pharmacy,85.5138746,27.6318764,POINT
"10230034913",,,,,,,,,,Prayush Pharmacy,pharmacy,85.5131183,27.6371783,POINT
"10230034916",,,,,,,,,,Shivam Pharmacy,pharmacy,85.513886,27.6320231,POINT
"10230034944",,,भोमि हस्पिटल,,,,,,,Bhomi Hospital,hospital,85.5090439,27.6325128,POINT
"4533952590",,,,,,,,,,,clinic,85.5144315,27.6327325,POINT
"1490444239",,,,,,,,,,Baluwa Health Sub- Post,clinic,85.5434112,27.7237581,POINT
"9597204692",,,,,,,,,,,pharmacy,85.5414461,27.624109,POINT
"9692969825",,,,,,,,,,,pharmacy,85.5412915,27.6233425,POINT
"5661000922",,,,,,,,,,,dentist,85.5195717,27.6312664,POINT
"1833839894",,,,,,,,,,Chandeswori Medical Shop,pharmacy,85.52216,27.6302214,POINT
"9960940221",,,,,,,,,,banepa dentel,hospital,85.5215853,27.6306702,POINT
"9784655262",,,,,Field Survey,,,,,,dentist,85.5215486,27.6284631,POINT
"9784655253",,,,,Field Survey,,,,,,hospital,85.5219661,27.6297685,POINT
"10230034903",,,,,,,,,,Mediserve Health Care,pharmacy,85.5209723,27.6274268,POINT
"9800606268",,,,,,,,,,Khoriya Health Post,clinic,85.5214462,26.8910236,POINT
"9800606270",,,,,,,,,,Basic Health Unit,clinic,85.5232162,26.8939724,POINT
"5660965223",,,,,,,,,,,clinic,85.5207529,27.6310569,POINT
"4707667990",,,,,,,,,,,pharmacy,85.5202001,27.6306456,POINT
"3622386552",,,,,,,,,,,pharmacy,85.5193476,27.7183941,POINT
"10230034891",,,,,,,,,,Ugrachandi Medical,pharmacy,85.5171162,27.6571228,POINT
"10230034898",,,,,,,,,,Gautam Pharma,pharmacy,85.5184616,27.6322205,POINT
"10230034901",,,,,,,,,,Aarogyata Medical,pharmacy,85.5184566,27.6314702,POINT
"10230034946",,,,,,,,,,Merryland Heath Care,hospital,85.5178761,27.6311524,POINT
"9960935697",,,,,,,,,,,pharmacy,85.5279221,27.6347633,POINT
"9960935696",,,,,,,,,,,pharmacy,85.5270725,27.6336257,POINT
"10230034906",,,,,,,,,,Namaste Medical Shop,pharmacy,85.5272134,27.6335739,POINT
"10230034948",,,,,,,,,,Scheer Memorial Hospital,hospital,85.5273593,27.63342,POINT
"4574490997",,,,,,,,,,,pharmacy,85.5275414,27.6341098,POINT
"10230034904",,,,,,,,,,Xeno Banepa Pharmacy,pharmacy,85.527143,27.6291673,POINT
"9784655280",,,,,Field Survey,,,,,,pharmacy,85.5250933,27.631875,POINT
"3815912423",,,,,,,,,,"Dhulikhel Hospital Outreach Centre, Manekharka",hospital,85.6519501,27.9375931,POINT
"5710767485",,,,,,,,,,Dhingha Rangjen Community Health Service Center,clinic,85.525661,28.018491,POINT
"9721808417",,,,,,,,,,,clinic,85.519128,28.2155311,POINT
"9427525322",,,फार्मेसी,,Namobuddha open mapping 2022,,,,,Pharmacy,pharmacy,85.6002067,27.5555233,POINT
"9791970433",,,,,,,,,,Swasthy Chuaiki Samudayik Sastha Mahadiya,clinic,85.8895569,26.7688046,POINT
"9791970436",,,,,,,,,,Aadharbhut Health Post Dathora,clinic,85.8446198,26.7898293,POINT
"9791970437",,,,,,,,,,Bagada Health Post Bagada,clinic,85.8761368,26.7824574,POINT
"9791970439",,,,,,,,,,Primary Health Post Gachi Tole,clinic,85.8503113,26.8011589,POINT
"8837295923",,,,,,,,,,,pharmacy,85.8535002,26.8006611,POINT
"10230034917",,,सहज फार्मेसी,,,,,,,Sahaj Pharmacy,pharmacy,85.5232294,27.634103,POINT
"10230034914",,,बिसेस फारमेस,,,,,,,Bishes Pharmacy,pharmacy,85.5277451,27.6347364,POINT
"9594268431",,,,,,,,,,bhumlu rural municipal hospital,hospital,85.7359073,27.6323051,POINT
"9960904377",,,,,,,,,,bhamashowari pharmacy,pharmacy,85.5196991,27.6363666,POINT
"10230034909",,,चिरायु फार्मेसी,,,,,,,Chirayu Pharmacy,pharmacy,85.5220339,27.6326999,POINT
"10230034905",,,,,,,,,,Seer Imaging & Diagnostic Centre Banepa Pvt. Ltd,pharmacy,85.5186467,27.6325746,POINT
"10230034918",,,,,,,,,,Subidha Pharmacy,pharmacy,85.5176736,27.6345668,POINT
"10230034947",,,अभय उपचार केन्द्र,,,,,,,,hospital,85.5178883,27.6337696,POINT
"4469793052",,,,,,,,,,,clinic,85.518427,27.6336548,POINT
"6222990187",,,,,,,hospital,,,,hospital,85.5425283,27.0916382,POINT
"8259085874",,,,,yil2020,,,,,Takshi Hospital,hospital,83.1766829,29.1458177,POINT
"9800535086",,,,,,,,,,Haripur Primary Health Center,clinic,85.5688019,27.0153027,POINT
"9800535088",,,,,,,,,,Bahirang Treatment Center,clinic,85.5606689,26.9792938,POINT
"8373902521",,,,,,,,,,,hospital,85.5614438,26.8540169,POINT
"9800535080",,,,,,,,,,Laxmipur Health Post,clinic,85.5664215,27.0040741,POINT
"9800535079",,,,,,,,,,Basic Health Post,clinic,85.5557556,26.9918263,POINT
"9800535083",,,,,,,,,,Pidrari Aayurved Ausdhalaya,clinic,85.5394897,26.9916031,POINT
"9800535084",,,,,,,,,,Health Post,clinic,85.5378799,26.9952386,POINT
"9800606271",,,,,,,,,,Aurahi Health Post Aurahi,clinic,85.5335846,26.8978634,POINT
"9800606276",,,,,,,,,,Basic Health Center,clinic,85.5387497,26.9017315,POINT
"9969194318",,,डोगाडा फार्मेसी,,,,,,,डोगाडा फार्मेसी,pharmacy,85.3427818,27.6736242,POINT
"10147413959",,,,,,,,,,Gautam Pharmacy,pharmacy,85.3417599,27.6744622,POINT
"10121388636",,,,,,,,,,Sarbanga Aayurved Upachar Kendra,clinic,85.3454812,27.6857746,POINT
"10121424557",,,,,,,alternative,,,Shree Dakshinkali Namo,,85.3468592,27.6801612,POINT
"4930988321",,,,,,,,,,,clinic,85.3491484,27.6827395,POINT
"4764253430",,,,,,,,,,Pradip Medical,pharmacy,85.3479565,27.7365986,POINT
"3074564882",,,,,,,,,,Helping Hands Pharmacy,pharmacy,85.3463666,27.717272,POINT
"1989508697",,,,,,,,,,Singapore Gorkha Polyclinic,clinic,85.3472155,27.680718,POINT
"5968011511",,,,,,,,,,Icon Dental,dentist,85.3510359,27.7591622,POINT
"8023127285",,,मेट्रो अस्पताल,,,,,,,मेट्रो अस्पताल,hospital,85.3371465,27.7398634,POINT
"4985298539",,,,,,,pharmacy,,,Nikita Medical Centre,pharmacy,85.3373709,27.7400051,POINT
"4931713517",,,,,,,pharmacy,,,Nikita Medical Center,pharmacy,85.33755,27.7395815,POINT
"5245742424",,,,,,,,,,,dentist,85.336993,27.7396473,POINT
"5245758321",,,,,,,,,,,clinic,85.3369967,27.7395388,POINT
"1905155355",,,,,,,,,,Medident Dental Care,dentist,85.3390181,27.7393672,POINT
"4659087194",,,,,,,dentist,,,,dentist,85.3376915,27.740478,POINT
"4542753705",,,,,,Kathmandu,clinic,,,Visual Line Optical,clinic,85.3372802,27.7403376,POINT
"4755940026",,,,,,,dentist,,,Smile Kraft Dental Clinic,dentist,85.3363876,27.74064,POINT
"4755933323",,,,,,,,,,,dentist,85.3361084,27.7409258,POINT
"7311876085",,,,,,,,,,,clinic,85.3375587,27.7415226,POINT
"1911303396",,,,,,,,,,Fresh Mint Dental Clinic,dentist,85.3396856,27.7426071,POINT
"1911303399",,,,,,,,,,Globel Dental Care Clinic,dentist,85.3394067,27.7423491,POINT
"2131884194",,,,,,,,,,Aajib pharmacy,pharmacy,85.3376822,27.7353522,POINT
"4789494021",,,,,,,,,,Al Sifa Pharmacy,pharmacy,85.3491051,27.7385547,POINT
"4923329321",,,,,,,,,,Saharobar Pharmacy,pharmacy,85.3417252,27.7366134,POINT
"4922051725",,,,,,,,,,Sarobar Polyclinic and Diagnosis,clinic,85.3416602,27.7365802,POINT
"9526033418",,,,,,,,,,Sunrise Dental care,dentist,85.3449446,27.7326379,POINT
"5558241922",,,,,,,,,,,pharmacy,85.3573516,27.7668956,POINT
"6313765386",,,,,,Budhanilkantha,pharmacy,,,Aaryab Pharmacy,pharmacy,85.3607345,27.7782844,POINT
"7088157185",,,,,,,,,,,clinic,85.345295,27.712853,POINT
"10611337908",,,,,,,,,,,pharmacy,85.3707506,27.7058904,POINT
"7981637488",,,,,,,,,,Gauthali Pharmacy,pharmacy,85.3733785,27.6994097,POINT
"4785943924",,,,,,,,,,,pharmacy,85.3566243,27.7148493,POINT
"4737451021",,,,,,,,,,,pharmacy,85.3669142,27.7133002,POINT
"4449389891",,,,,,,,,,,dentist,85.3643172,27.7172901,POINT
"9523795117",,,,,,,,,,Rajak Pharmacy,pharmacy,85.3446799,27.7259878,POINT
"7812122485",,,मैत्री सामुदायिक अस्पताल,,,,,,,मैत्री सामुदायिक अस्पताल,hospital,85.3451431,27.7268923,POINT
"1143907461",,,,,,,,,,,pharmacy,85.3470286,27.7290561,POINT
"9825144117",,,,,,,,,,,clinic,85.3466086,27.7308069,POINT
"4764302323",,,,,,,,,,Ayourbadik Ausadhi Pasal,pharmacy,85.3448331,27.7323677,POINT
"2097794106",,,,,,,pharmacy,,,Martina Medical Hall,pharmacy,85.3367096,27.7311193,POINT
"9523235519",,,,,,,,,,Kundan Pharmacy,pharmacy,85.3457257,27.7334481,POINT
"9523236217",,,,,,,,,,Hams Pharmacy,pharmacy,85.3460233,27.7333649,POINT
"5100597022",,,,,,,,,,,clinic,85.3462504,27.6791458,POINT
"7721799746",,,,,,,pharmacy,,,Aruna Pharmacy,pharmacy,85.3647912,27.6797062,POINT
"9967102442",,,एस डेंटल प्रा. लि,,,,,,,एस डेंटल प्रा. लि,dentist,85.3490096,27.6788729,POINT
"9956485696",,,,,,,,,,Creative Medical and Technical College,dentist,85.3492677,27.6789459,POINT
"5485585621",,,,,,,,,,,pharmacy,85.3491522,27.6805554,POINT
"10121388523",,,,,,,,,,Aatig Pharmacy,pharmacy,85.3492416,27.6805853,POINT
"4589163789",,,,,,,,,,,pharmacy,85.3492955,27.6804108,POINT
"10305102342",,,ओम हस्पिटल एण्ड रिसर्च सेन्टर प्रा. लि,,,,,,,ओम हस्पिटल एण्ड रिसर्च सेन्टर प्रा. लि,hospital,85.3448029,27.7214203,POINT
