FIRE_NAME,FIRE_YEAR,SOURCE_REPORTING_UNIT_NAME,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE,STATE
"LOWER BURN CREEK",2005,"Bitterroot National Forest",Lightning,1086.0,45.59916667,-114.6825,ID
JOHNSON,2005,"Gila National Forest",Lightning,11611.0,34.04666667,-108.87944444,NM
"BEAR CREEK WFU",2005,"Payette National Forest",Lightning,5722.0,45.45583333,-114.9775,ID
"STRIPE CREEK",2005,"Bitterroot National Forest",Lightning,4278.7,45.515,-114.76194444,ID
MUDERSBACH,2005,"Kaibab National Forest",Lightning,7260.0,35.86611111,-111.92527778,AZ
NORTH,2005,"Kaibab National Forest",Lightning,1315.0,35.90416667,-111.9675,AZ
FLORIDA,2005,"Coronado National Forest",Lightning,23183.0,31.42277778,-111.33,AZ
"VALLEY ROAD",2005,"Sawtooth National Forest","Debris Burning",40483.0,43.99277778,-114.78611111,ID
"BURNT STRIP MOUNTAIN",2005,"Bitterroot National Forest",Lightning,8580.0,45.70416667,-114.99861111,ID
CRAG,2005,"Sequoia National Forest",Lightning,1185.0,35.09333333,-118.20555556,CA
BULL,2005,"Gila National Forest",Lightning,77000.0,33.39472222,-108.28972222,NM
"SIGNAL ROCK",2005,"Bitterroot National Forest",Lightning,13327.0,46.14833333,-113.79583333,MT
"CB RANCH MUTUAL AID",2005,"Bitterroot National Forest",Lightning,1708.0,46.04333333,-114.15194444,MT
"ROCK IN",2005,"Bitterroot National Forest",Lightning,6869.0,46.05361111,-114.40472222,MT
MOUNTAIN,2005,"Gila National Forest",Lightning,1400.0,33.65166667,-108.70416667,NM
"ST. CLAIRE",2005,"Tonto National Forest",Miscellaneous,1920.0,33.92027778,-111.72805556,AZ
PEPPIN,2004,"Lincoln National Forest",Lightning,64488.0,33.60138889,-105.43333333,NM
PROSPECT,2005,"Lolo National Forest",Lightning,3200.0,47.05,-115.01138889,MT
"GILBERTS CREEK",2005,"Daniel Boone National Forest",Arson,2537.0,37.10833333,-84.54166667,KY
BEETLE,2005,"National Forests in Florida",Arson,4384.92,30.21666667,-84.98333333,FL
"SHEEP CREEK WFU",2005,"Ashley National Forest",Lightning,3322.0,40.86444444,-109.92833333,UT
"STARVATION WFU",2005,"Payette National Forest",Lightning,1349.0,45.35166667,-114.975,ID
"BIG DRY CANYON WFU",2005,"Caribou-Targhee National Forest",Lightning,2098.0,43.45166667,-111.14944444,ID
"JOE CREEK WFU",2005,"Payette National Forest",Lightning,13866.0,45.23055556,-115.32055556,ID
"WEST FORK WFU",2005,"Payette National Forest",Lightning,9933.0,45.23638889,-115.32055556,ID
"WOLF FANG WFU",2005,"Payette National Forest",Lightning,3933.0,45.21555556,-115.43361111,ID
"MISSOURI RIDGE WFU",2005,"Payette National Forest",Lightning,6775.0,45.00055556,-115.3875,ID
BUTTE,2005,"Prescott National Forest",Lightning,7962.0,34.40638889,-111.97972222,AZ
"PINE CANYON",2005,"Carson National Forest",Miscellaneous,3922.0,36.34194444,-106.28972222,NM
BLOSSOM,2005,"Siskiyou National Forest",Lightning,14772.0,42.72361111,-123.93833333,OR
SYCAMORE,2005,"Prescott National Forest",Lightning,2000.0,34.68277778,-112.85416667,AZ
"MULE PEAK",2005,"Wallowa-Whitman National Forest",Lightning,1400.0,45.10805556,-117.55972222,OR
FLY,2005,"Wallowa-Whitman National Forest",Lightning,1066.0,45.10277778,-118.51083333,OR
"FALLS CREEK",2005,"Salmon-Challis National Forest",Lightning,1445.0,44.62222222,-113.74583333,ID
PATTERSON,2005,"Salmon-Challis National Forest",Miscellaneous,1185.0,44.5525,-113.68305556,ID
"DIRTY FACE",2005,"Okanogan-Wenatchee National Forest",Miscellaneous,1150.0,47.83722222,-120.80527778,WA
"SPRING CREEK",2005,"Wallowa-Whitman National Forest","Equipment Use",1156.0,45.33472222,-118.33416667,OR
"OK STATE LINE",2005,"Cibola National Forest",Smoking,6080.0,36.56972222,-103.0,OK
"HAAS RIDGE",2005,"Wallowa-Whitman National Forest",Lightning,2296.0,45.68722222,-116.74972222,OR
"016 CROWELL",2005,"Kisatchie National Forest",Miscellaneous,1100.0,31.39638889,-93.03083333,LA
"TURNER CREEK",2005,"Wallowa-Whitman National Forest","Debris Burning",1419.0,45.42083333,-116.78638889,OR
TARKIO,2005,"Lolo National Forest",Miscellaneous,9082.0,47.01888889,-114.68027778,MT
"WEST MOUNTAIN",2005,"Lolo National Forest",Miscellaneous,1642.0,47.01944444,-114.5375,MT
ZERO,2005,"National Forests in Mississippi",Miscellaneous,1027.0,31.13333333,-89.14166667,MS
"WHITE DOG",2005,"National Forests in Mississippi",Miscellaneous,5300.0,31.13833333,-89.1125,MS
EDGE,2005,"Tonto National Forest",Lightning,72000.0,33.66666667,-111.46666667,AZ
FOUR,2005,"Tonto National Forest",Lightning,3000.0,33.675,-111.35,AZ
MILES,2005,"Tonto National Forest",Lightning,1056.0,33.42722222,-111.07555556,AZ
"NO MANS LAND",2006,"Ouachita National Forest",Lightning,8294.0,34.44166667,-93.84444444,AR
WINDY,2006,"Cibola National Forest",Miscellaneous,6343.0,36.66083333,-102.98416667,OK
I-40,2006,"Cibola National Forest",Miscellaneous,427696.0,35.21666667,-100.93333333,TX
"SQUARE TOP",2006,"Cibola National Forest","Equipment Use",1000.0,35.56861111,-99.5675,OK
STEELER,2006,"Pike San Isabel National Forest and Grasslands",Arson,2380.0,37.07388889,-101.70972222,KS
FLATSIDE,2006,"Ouachita National Forest",Lightning,5091.0,34.83583333,-93.04305556,AR
TAYLOR,2006,"Gila National Forest",Lightning,1830.0,33.33611111,-108.07444444,NM
BRUSHY,2006,"Gila National Forest",Lightning,1701.0,33.31777778,-108.91861111,NM
HACKBERRY,2006,"Tonto National Forest",Lightning,2031.0,33.92388889,-111.23583333,AZ
SAND,2006,"Apache-Sitgreaves National Forest",Miscellaneous,1248.0,34.55638889,-110.88333333,AZ
GOODALE,2006,"Inyo National Forest",Lightning,3747.1,36.97638889,-118.26444444,CA
"CHIPPEAN RIDGE",2006,"Manti-Lasal National Forest",Lightning,2500.0,37.8,-109.63583333,UT
JACKASS,2006,"Humboldt-Toiyabe National Forest",Lightning,6255.0,38.55166667,-119.35944444,CA
MARTINEZ,2006,"Gila National Forest",Lightning,3162.0,33.58333333,-108.86666667,NM
"MARTINEZ II",2006,"Gila National Forest",Lightning,6618.0,33.59722222,-108.88888889,NM
WILSON,2006,"Gila National Forest",Lightning,5216.0,33.85722222,-108.22333333,NM
TIGER,2006,"Prescott National Forest",Lightning,5143.0,34.17916667,-112.22888889,AZ
"BEAR PAW",2006,"Santa Fe National Forest",Miscellaneous,3075.0,36.22361111,-106.8925,NM
277,2006,"National Forests in Florida",Lightning,3259.0,30.36222222,-82.38694444,FL
TECOLATE,2006,"Pike San Isabel National Forest","Debris Burning",1500.0,37.21388889,-103.23166667,CO
RUSH,2006,"Klamath National Forest",Lightning,4850.0,41.10333333,-123.03666667,CA
"WEST WFU",2006,"Kaibab National Forest",Lightning,1925.0,35.90888889,-111.99694444,AZ
"COLE CREEK",2006,"Custer National Forest",Lightning,1000.0,45.58833333,-108.95972222,MT
"SHANE RIDGE",2006,"Custer National Forest",Lightning,1000.0,45.49194444,-109.08416667,MT
SAUNDERS,2006,"Custer National Forest","Debris Burning",3000.0,45.6125,-109.48333333,MT
"LION CREEK",2006,"Manti-Lasal National Forest",Miscellaneous,1499.0,38.40138889,-109.0225,CO
RIDGE,2006,"Los Padres National Forest",Lightning,2418.0,34.90083333,-119.27944444,CA
BEAVERHEAD,2006,"Apache-Sitgreaves National Forest",Miscellaneous,1497.0,33.67472222,-109.25833333,AZ
CORNFIELD,2006,"Prescott National Forest","Equipment Use",1143.0,35.59833333,-112.71333333,AZ
"MOUNTAIN MEADOW",2006,"Salmon-Challis National Forest",Lightning,2329.0,44.5075,-115.36833333,ID
"SHARPS RIDGE",2006,"Umatilla National Forest",Lightning,5394.9,44.80277778,-118.74027778,OR
BEAR,2006,"Gila National Forest",Campfire,55307.0,33.41138889,-108.63138889,NM
WARM,2006,"Kaibab National Forest",Lightning,58630.0,36.65972222,-112.19,AZ
HOTLUM,2006,"Shasta-Trinity National Forest","Debris Burning",2815.0,41.46777778,-122.33333333,CA
HIGH,2006,"Modoc National Forest",Lightning,1049.0,41.46916667,-121.33472222,CA
POTATO,2006,"Apache-Sitgreaves National Forest",Lightning,6262.0,34.49416667,-110.74388889,AZ
"BLACK HORSE CREEK",2006,"Dakota Prairie Grasslands",Lightning,7829.4,45.59583333,-101.99444444,SD
"BALLS CANYON",2006,"Humboldt-Toiyabe National Forest",Lightning,1805.0,39.66194444,-120.08277778,CA
"VERDI (STONE RIDGE)",2006,"Humboldt-Toiyabe National Forest",Miscellaneous,6052.0,39.535,-119.96694444,NV
"TROY PEAK",2006,"Humboldt National Forest",Lightning,1183.0,38.24166667,-115.525,NV
SIERRA,2006,"Cleveland National Forest",Miscellaneous,10584.0,33.85194444,-117.64972222,CA
"BIG CREEK",2006,"Gallatin National Forest",Lightning,14000.0,45.31583333,-110.86861111,MT
DERBY,2006,"Gallatin National Forest",Lightning,207115.0,45.53611111,-109.93472222,MT
"PASSAGE FALLS",2006,"Gallatin National Forest",Lightning,6620.0,45.23472222,-110.47361111,MT
JUNGLE,2006,"Gallatin National Forest",Lightning,25828.0,45.43694444,-110.39888889,MT
"0564 - MAXWELL FIRE",2006,"Ochoco National Forest",Lightning,7145.0,44.49083333,-120.1975,OR
"ROBERTS TRACT",2006,"Nebraska National Forest",Lightning,10079.0,42.68333333,-103.145,NE
"SPOTTED TAIL #3",2006,"Nebraska National Forest",Lightning,17899.0,42.69111111,-102.96055556,NE
"WATT DRAW",2006,"Custer National Forest",Lightning,17552.0,45.49111111,-105.97138889,MT
"SNOW CANYON",2006,"Humboldt National Forest",Lightning,22233.6,41.42361111,-116.07388889,NV
RB-78,2006,"Cibola National Forest",Lightning,1600.0,36.26944444,-102.41305556,TX
MILKSHAKE,2006,"Cibola National Forest",Lightning,3500.0,36.305,-102.6325,TX
POTATO,2006,"Salmon-Challis National Forest",Lightning,18236.0,44.32472222,-114.83944444,ID
BOUNDARY,2006,"Salmon-Challis National Forest",Lightning,11005.0,44.49861111,-115.28916667,ID
"HOLLAND PEAK",2006,"Flathead National Forest",Lightning,1840.0,47.52,-113.59861111,MT
TRAILHEAD,2006,"Sawtooth National Forest",Miscellaneous,4252.0,44.14972222,-115.14916667,ID
"TANGO POINT",2006,"Flathead National Forest",Lightning,1467.0,47.53555556,-113.54972222,MT
"JENNY CREEK",2006,"Flathead National Forest",Lightning,1020.0,47.30361111,-113.28055556,MT
"SUN DOG",2006,"Flathead National Forest",Lightning,1560.0,48.68138889,-114.44166667,MT
BLUEGRASS,2006,"Mt. Hood National Forest",Lightning,1850.0,45.36666667,-121.59944444,OR
HORSE,2006,"Cleveland National Forest",Campfire,16677.0,32.75444444,-116.66916667,CA
SHERWOOD,2006,"Humboldt National Forest",Lightning,7378.0,38.255,-115.40166667,NV
"DEEP CREEK",2006,"Manti-Lasal National Forest",Lightning,1484.0,39.47388889,-111.85361111,UT
"CUB (WFU)",2006,"Salmon-Challis National Forest",Lightning,3908.0,44.85722222,-114.77333333,ID
LIGHTNING,2006,"Nezperce National Forest",Lightning,1950.0,45.44722222,-116.25944444,ID
"CHEYENNE RIVER",2006,"Medicine Bow-Routt National Forest",Lightning,2000.0,43.31027778,-105.34888889,WY
BALD,2006,"Los Padres National Forest",Lightning,1250.0,34.925,-119.95972222,CA
CUMMINGS,2006,"Medicine Bow-Routt National Forest",Lightning,4242.0,43.81333333,-104.42444444,WY
"NORTH ELK",2006,"Salmon-Challis National Forest",Lightning,6099.0,44.5275,-115.45777778,ID
"COLUMBIA COMPLEX",2006,"Umatilla National Forest",Lightning,109259.0,46.14305556,-118.04416667,WA
"EAST ROARING",2006,"Boise National Forest",Lightning,3185.0,43.66833333,-115.42972222,ID
SAGE,2006,"Modoc National Forest",Lightning,4871.0,41.68583333,-120.51833333,CA
"RED MOUNTAIN",2006,"Boise National Forest",Campfire,35482.0,44.24333333,-115.38638889,ID
"EAST LANGDON",2006,"Bitterroot National Forest",Lightning,1893.0,45.61888889,-114.71916667,ID
"BARE PEAK",2006,"Bitterroot National Forest",Lightning,1370.0,45.83472222,-114.4175,MT
SOMES,2006,"Six Rivers National Forest",Lightning,15710.0,41.315,-123.49666667,CA
"MOUNT AURA",2006,"Bitterroot National Forest",Lightning,1317.0,45.85111111,-114.80222222,ID
"TROUT CREEK",2006,"Payette National Forest",Lightning,4525.0,45.50694444,-115.30527778,ID
BURNT,2006,"Boise National Forest",Lightning,2100.0,44.70027778,-115.48361111,ID
"JIM CREEK",2006,"Wallowa-Whitman National Forest",Lightning,12946.0,45.9475,-116.87888889,OR
HARVEY,2006,"Mendocino National Forest",Lightning,1247.0,40.05888889,-122.90805556,CA
PINNACLES,2006,"San Bernardino National Forest",Arson,2750.0,34.28444444,-117.2125,CA
SUMMIT,2006,"Boise National Forest",Lightning,2500.0,44.64583333,-115.57555556,ID
RATTLESNAKE,2006,"Boise National Forest",Lightning,43600.0,44.30138889,-115.78722222,ID
RALSTON,2006,"Tahoe National Forest",Miscellaneous,8422.0,39.01666667,-120.7025,CA
HUNTER,2006,"Mendocino National Forest",Lightning,16296.0,39.66055556,-122.86166667,CA
"SLIDE CREEK",2006,"Clearwater National Forest",Lightning,1430.0,46.7175,-115.1875,ID
SLED,2006,"Clearwater National Forest",Lightning,1700.0,46.67,-115.03222222,ID
BASSETTS,2006,"Tahoe National Forest",Miscellaneous,2114.0,39.61694444,-120.60166667,CA
HANCOCK,2006,"Six Rivers National Forest",Lightning,10770.0,41.44888889,-123.2925,CA
PUZZLE,2006,"Willamette National Forest",Miscellaneous,6340.0,44.58972222,-121.84472222,OR
TITUS,2006,"Klamath National Forest",Lightning,5792.0,41.60277778,-123.37694444,CA
"DUNCE WFU",2006,"Payette National Forest",Lightning,7898.0,45.125,-114.78305556,ID
DAY,2006,"Los Padres National Forest","Debris Burning",162702.0,34.63222222,-118.76972222,CA
"HORSE HEAVEN",2006,"Wallowa-Whitman National Forest",Lightning,2298.0,45.25833333,-116.5575,ID
PERKINS,2006,"Los Padres National Forest",Miscellaneous,14988.0,34.94361111,-119.68722222,CA
KINGSLEY,2006,"Mendocino National Forest",Lightning,6854.0,40.03777778,-122.94138889,CA
BOULDER,2006,"Plumas National Forest",Lightning,2920.0,40.21888889,-120.60722222,CA
PIGEON,2006,"Shasta-Trinity National Forest",Miscellaneous,35101.0,40.75111111,-123.15083333,CA
"TRIPOD COMPLEX",2006,"Okanogan-Wenatchee National Forest",Lightning,113011.0,48.50333333,-120.04444444,WA
"VAN PEAK",2006,"Okanogan-Wenatchee National Forest",Lightning,1813.0,48.93972222,-120.27972222,WA
"SPUR PEAK",2006,"Okanogan-Wenatchee National Forest",Lightning,62173.0,48.65805556,-120.02888889,WA
"CEDAR CREEK",2006,"Okanogan-Wenatchee National Forest",Lightning,1661.0,48.52416667,-120.58055556,WA
TATOOSH,2006,"Okanogan-Wenatchee National Forest",Lightning,51671.0,48.89611111,-120.56111111,WA
"CLEAR CREEK",2006,"Wallowa-Whitman National Forest",Lightning,11615.0,45.07333333,-117.15277778,OR
BOWEN,2006,"Caribou-Targhee National Forest",Lightning,19482.0,42.13861111,-112.69722222,ID
"TWIN BUTTE",2006,"Nezperce National Forest",Lightning,1190.0,46.06416667,-114.68722222,ID
"TAMARACK WFU",2006,"Payette National Forest",Lightning,2360.0,44.97916667,-115.37277778,ID
"SIXTY TWO RIDGE",2006,"Nezperce National Forest",Lightning,1405.0,46.13833333,-115.07638889,ID
"BISHOP CREEK",2006,"Payette National Forest",Lightning,2650.0,44.94333333,-115.38055556,ID
"LICK CREEK WFU",2006,"Payette National Forest",Lightning,1038.0,45.07972222,-115.79777778,ID
BRUSHY,2006,"Nezperce National Forest",Lightning,2772.0,45.97638889,-114.64972222,ID
KRASSEL,2006,"Payette National Forest",Lightning,1100.0,44.95027778,-115.71888889,ID
"SHEEP CREEK WFU",2006,"Payette National Forest",Lightning,3300.0,45.02972222,-115.60305556,ID
"PHOEBE 2",2006,"Payette National Forest",Lightning,1950.0,44.94194444,-115.64666667,ID
RAINBOW,2006,"Payette National Forest",Lightning,3383.0,44.92027778,-115.83666667,ID
"TWIN LAKES",2006,"Payette National Forest",Lightning,1539.0,45.05611111,-115.49972222,ID
"VAN METER",2006,"Payette National Forest",Lightning,3300.0,44.97444444,-115.50166667,ID
"TAILHOLT CREEK",2006,"Payette National Forest",Lightning,4500.0,45.05916667,-115.68888889,ID
"NANNY CREEK",2006,"Lewis and Clark National Forest",Lightning,2362.0,48.01694444,-112.83777778,MT
"CIGARETTE ROCK",2006,"Lewis and Clark National Forest",Lightning,2271.0,47.38861111,-112.86972222,MT
COUGAR,2006,"Payette National Forest",Lightning,28431.0,44.8375,-115.75333333,ID
MEADOW,2006,"Nezperce National Forest",Lightning,7200.0,45.73722222,-115.18944444,ID
CUDDY,2006,"Payette National Forest",Lightning,1202.0,44.85916667,-116.76305556,ID
"GREEN ACRES",2006,"Nezperce National Forest",Lightning,6700.0,45.34861111,-116.49527778,ID
"CLARKS CANYON",2006,"Beaverhead-Deerlodge National Forest","Equipment Use",15387.0,45.01111111,-112.79305556,MT
"BLACK BUTTE",2006,"Nezperce National Forest",Lightning,33000.0,45.47027778,-115.88611111,ID
"0668 - LAKE GEORGE",2006,"Deschutes National Forest",Lightning,5550.0,44.3075,-121.81388889,OR
"0570  BLACK CRATER",2006,"Deschutes National Forest",Lightning,9400.0,44.26083333,-121.73611111,OR
"QUARRY - GP",2006,"George Washington-Jefferson","Debris Burning",1140.0,37.43194444,-79.815,VA
"FAMINE LAKE",2006,"Superior National Forest",Lightning,4104.0,47.96444444,-90.71722222,MN
"ULM PEAK",2006,"Idaho Panhandle National Forest",Lightning,4980.0,47.89166667,-115.98416667,ID
"BEAR GULCH II",2006,"Olympic National Forest",Miscellaneous,1100.0,47.50361111,-123.29638889,WA
"CAVITY LAKE",2006,"Superior National Forest",Lightning,31830.0,48.09305556,-90.99527778,MN
"MOUNT CARMEL",2006,"Pike San Isabel National Forest and Grasslands","Equipment Use",4000.0,36.99861111,-102.32666667,OK
REDEYE,2006,"Superior National Forest",Lightning,1792.0,47.97611111,-90.55916667,MN
TURTLE,2006,"Superior National Forest",Lightning,2085.0,47.85111111,-91.53666667,MN
RABBIT,2006,"Clearwater National Forest",Lightning,2200.0,46.40444444,-114.63694444,ID
"LINDSEY BAY",2006,"National Forests in Florida",Lightning,1073.0,30.13583333,-84.96888889,FL
JUNIPER,2006,"National Forests in Florida",Miscellaneous,4014.0,29.21666667,-81.69722222,FL
SAUSE,2006,"National Forests in Mississippi",Lightning,1824.0,30.53944444,-88.96611111,MS
SKATE,2006,"Gila National Forest",Lightning,12582.0,32.95611111,-108.13027778,NM
"BLACK BIRD MINE WFU",2006,"Fishlake National Forest",Lightning,1463.0,38.44805556,-112.13472222,UT
"MONTEZUMA 1",2006,"Coronado National Forest",Arson,4191.0,31.33861111,-110.42611111,AZ
WILLOW,2006,"Coronado National Forest",Miscellaneous,1806.0,31.44527778,-110.655,AZ
103,2006,"Coronado National Forest",Campfire,1634.0,31.35111111,-110.31333333,AZ
"HUGHES LAKE FIRE",2006,"Huron-Manistee National Forest","Debris Burning",5818.0,44.51,-84.19,MI
PLOWBOY,2006,"Idaho Panhandle National Forest",Lightning,1234.0,48.77916667,-116.9525,ID
"HUGHES EAST",2006,"Idaho Panhandle National Forest",Lightning,2959.0,48.96166667,-116.98361111,ID
"DOG VALLEY",2006,"Fishlake National Forest",Lightning,28661.3,38.67555556,-112.52527778,UT
"SOUTH WATER HOLLOW",2006,"Fishlake National Forest",Lightning,1424.0,38.87388889,-111.3975,UT
"SUNSET CANYON",2006,"Fishlake National Forest",Lightning,1096.0,38.83722222,-112.3175,UT
BRINS,2006,"Coconino National Forest",Smoking,4317.0,34.89861111,-111.76861111,AZ
ISABELLE,2006,"Medicine Bow-Routt National Forest",Lightning,1190.61,41.12972222,-106.09805556,WY
"DEVILS DEN",2006,"Fishlake National Forest",Lightning,14153.7,39.35388889,-112.26833333,UT
GASH,2006,"Bitterroot National Forest",Arson,8800.0,46.395,-114.25388889,MT
ESPERANZA,2006,"San Bernardino National Forest",Arson,40200.0,33.89972222,-116.76611111,CA
"KILN (BAYOU BACON)",2006,"National Forests in Mississippi",Arson,3708.0,30.41972222,-89.49694444,MS
"SULPHUR MOUNTAIN",2006,"Ouachita National Forest",Lightning,3739.0,34.35666667,-93.78666667,AR
ELKHORN,2006,"Salmon-Challis National Forest",Lightning,1002.0,45.34666667,-114.57388889,ID
MAGGIE,2006,"Sequoia National Forest",Lightning,2097.0,36.26333333,-118.61472222,CA
"SHELDON PEAK",2006,"Salmon-Challis National Forest",Lightning,2384.0,44.70111111,-114.55361111,ID
TAMARACK,2006,"Sequoia National Forest",Lightning,4654.0,36.32055556,-118.40305556,CA
"BRODER WFU",2006,"Sequoia National Forest",Lightning,1220.0,36.14194444,-118.18555556,CA
"BECK WFU",2006,"Sequoia National Forest",Lightning,2270.0,36.16666667,-118.16888889,CA
TINPAN,2006,"Okanogan-Wenatchee National Forest",Lightning,9252.0,48.16416667,-120.72583333,WA
"THORN CREEK",2006,"Malheur National Forest",Lightning,13536.0,44.31166667,-119.43472222,OR
MILLARD,2006,"San Bernardino National Forest",Lightning,24000.0,34.34166667,-116.76666667,CA
EMERALD,2006,"San Bernardino National Forest",Miscellaneous,2109.0,34.08416667,-117.09361111,CA
"PEA VINE COMPLEX",2006,"George Washington-Jefferson",Arson,2871.0,37.61472222,-79.36555556,VA
"BATTLE MOUNTAIN",2006,"Bridger-Teton National Forest",Lightning,1370.0,43.28972222,-109.96638889,WY
"JIM CREEK WFU",2006,"Bridger-Teton National Forest",Lightning,3895.0,43.1975,-109.92333333,WY
PURDY,2006,"Bridger-Teton National Forest",Lightning,16906.0,43.57305556,-110.14055556,WY
CARDINAL,2006,"George Washington-Jefferson",Arson,1935.0,38.67666667,-78.5525,VA
"BRANTLEY CABIN",2007,"Ouachita National Forest","Debris Burning",9071.0,34.26805556,-94.58416667,OK
"LITTLE VENUS",2006,"Shoshone National Forest",Lightning,34581.0,44.01194444,-109.45833333,WY
"CHANDLER FIRE",2007,"Daniel Boone National Forest",Arson,1300.0,37.18722222,-83.33833333,KY
FRIAR,2007,"George Washington-Jefferson",Miscellaneous,1070.0,37.77,-79.96055556,VA
DECKERS,2007,"Mark Twain National Forest",Arson,1212.0,37.7675,-92.07611111,MO
PROMONTORY,2007,"Tonto National Forest",Campfire,4044.0,31.36027778,-111.01083333,AZ
"HAM LAKE",2007,"Superior National Forest",Campfire,75484.0,48.06888889,-90.81138889,MN
"TEN FIRE",2007,"Gila National Forest",Lightning,1031.0,33.44861111,-108.33361111,NM
HL,2007,"Gila National Forest",Lightning,10131.0,33.56361111,-108.45916667,NM
JUMP,2007,"Apache-Sitgreaves National Forest","Debris Burning",1746.0,34.08916667,-109.3875,AZ
PINNACLE,2007,"National Forests in North Carolina",Children,2404.0,35.82,-81.925,NC
BIRDIE,2007,"Coconino National Forest",Lightning,5016.0,34.88805556,-111.53861111,AZ
RATTLESNAKE,2007,"Nezperce National Forest",Lightning,102000.0,45.42916667,-115.63666667,ID
CONCORD,2007,"Nezperce National Forest",Lightning,1500.0,45.59555556,-115.73472222,ID
JAMES,2007,"Sequoia National Forest",Miscellaneous,4200.0,35.7625,-118.4,CA
